Id,SalePrice
1461,103535.90575137327
1462,161369.8996803132
1463,156953.47905787546
1464,181021.35049563425
1465,202406.65076097508
1466,169228.1641515888
1467,180326.60550059448
1468,157945.14103355596
1469,224939.75780988357
1470,112353.95087688183
1471,210827.74541513773
1472,85158.26303053333
1473,77593.87527448742
1474,150492.94395610073
1475,112046.49935593421
1476,343886.022056615
1477,253363.5473490709
1478,291419.0546275772
1479,290957.0840648988
1480,415077.7336751472
1481,292448.66504331375
1482,223210.11775377346
1483,176348.08809269604
1484,197736.2402064727
1485,230489.5051368354
1486,211149.55862203205
1487,277568.34689343977
1488,236651.99324472598
1489,195643.17162520124
1490,223678.33304976008
1491,210962.42825517035
1492,110498.49763928191
1493,208918.37128792645
1494,289110.3435163067
1495,273040.52464188787
1496,240196.3399509173
1497,164232.28780269367
1498,187016.48984709615
1499,178291.91391211096
1500,161304.60370102385
1501,181549.0583181203
1502,156791.84221724654
1503,313361.19543449266
1504,250490.84661696595
1505,224834.9632999386
1506,210755.49365836068
1507,247855.7228059438
1508,206216.28824375162
1509,161872.98444841127
1510,148042.58143607306
1511,162266.99135337234
1512,170873.12925104238
1513,160723.4481352442
1514,482462.24285990186
1515,198066.70396369137
1516,158588.06928594108
1517,165786.98486953636
1518,124918.37523317558
1519,223158.18819705106
1520,131914.9181595866
1521,117296.15789713233
1522,189174.28010666824
1523,80860.01331468788
1524,112799.95497287752
1525,98103.28724419209
1526,90480.35052739747
1527,97373.83989343897
1528,138539.64440132445
1529,148438.31251725496
1530,213752.805212587
1531,144767.03701529757
1532,416797.8041842112
1533,189274.77341251948
1534,113184.25370474707
1535,151176.99927981396
1536,107100.56980650628
1537,47621.89612524747
1538,187411.33550503524
1539,239181.37146732677
1540,400478.05422730814
1541,137620.88896564255
1542,136301.44663454522
1543,199683.05718588794
1544,99306.26374326239
1545,124501.36627093656
1546,151546.48494764743
1547,148892.78910842724
1548,148173.14562709408
1549,125852.16923720122
1550,147077.96954809665
1551,154228.4370815953
1552,167940.8465867719
1553,446388.1623604102
1554,122634.03205210646
1555,172325.91279968678
1556,67143.72575441038
1557,374671.0415521988
1558,101522.82040007168
1559,384329.604939725
1560,147217.0835218745
